,Titles,Abstracts,Production,Production_abstract_score,Production_title_score,Mean_product,Material,Material_abstract_score,Material_title_score,Mean_material
0,3D gel-printing of zirconia ceramic parts,"3D gel-printing (3DGP) is a new printing method, which is based on a 2-hydroxyethyl methacrylate (HEMA) gelation system to produce complex shape parts. In this study, the 3DGP process based on a water-based gelation system was used to prepare zirconia (ZrO2) ceramic parts. The water-based ZrO2 ceramic slurry with a solid volume fraction of 50 vol% was prepared and its rheological property was characterized. The surface roughness is Ra 8.90 µm on the printed green sample, and Ra 8.25 µm on the sample after sintered at 1520 °C for 2 h. The relative density, the Vickers hardness and the transverse rupture strength of the sintered sample are 97.6%, 14.4 GPa and 450 MPa, respectively.
",SLM or DMLS,0.4,0.6,0.5,Ceramic,0.33,0.77,0.55
1,3D Printed Glass Surface Finish and Bulk Properties as a Function of the Printing Process,"It is impossible to print glass directly from a melt, layer by layer. Glass is not only very sensitive to temperature gradients between different layers but also to the cooling process. To achieve a glass state the melt, has to be cooled rapidly to avoid crystallization of the material and then annealed to remove cooling induced stress. In 3D-printing of glass the objects are shaped at room temperature and then fired. The material properties of the final objects are crucially dependent on the frit size of the glass powder used during shaping, the chemical formula of the binder and the firing procedure. For frit sizes below 250 µm, we seem to find a constant volume of pores of less than 5%. Decreasing frit size leads to an increase in the number of pores which then leads to an increase of opacity. The two different binders, 2-hydroxyethyl cellulose and carboxymethylcellulose sodium salt, generate very different porosities. The porosity of samples with 2-hydroxyethyl cellulose is similar to frit-only samples, whereas carboxymethylcellulose sodium salt creates a glass foam. The surface finish is determined by the material the glass comes into contact with during firing.",SLM or DMLS,0.66,0.53,0.595,Metal,0.54,0.37,0.455
2,3D printing of ceramics A review,"Along with extensive research on the three-dimensional (3D) printing of polymers and metals, 3D printing of ceramics is now the latest trend to come under the spotlight. The ability to fabricate ceramic components of arbitrarily complex shapes has been extremely challenging without 3D printing.This review focuses on the latest advances in the 3D printing of ceramics and presents the historical origins and evolution of each related technique.The main technical aspects,including feed stock properties,process control,post-treatments and energy source–material interactions,are also discussed.The technical challenges and advice about how to address these are presented. Comparisons are made between the techniques to facilitate the selection of the best ones in practical use. In addition, representative applications of the 3D printing of various types of ceramics are surveyed. Future directions are pointed out on the advancement on materials and forming mechanism for the fabrication of high-performance ceramic components.
",SLM or DMLS,0.65,0.58,0.615,Ceramic,0.65,0.63,0.64
3,3D Printing of Continuous-Fiber Composites by In-Nozzle Impregnation,"We have developed a method for the three-dimensional (3D) printing of continuous fiber-reinforced thermoplastics based on fused-deposition modeling. The technique enables direct 3D fabrication without the use of molds and may become the standard next-generation composite fabrication methodology. A thermoplastic filament and continuous fibers were separately supplied to the 3D printer and the fibers were impregnated with the filament within the heated nozzle of the printer immediately before printing. Polylactic acid was used as the matrix while carbon fibers, or twisted yarns of natural jute fibers, were used as the reinforcements. The thermoplastics reinforced with unidirectional jute fibers were examples of plant-sourced composites; those reinforced with unidirectional carbon fiber showed mechanical properties superior to those of both the jute-reinforced and unreinforced thermoplastics. Continuous fiber reinforcement improved the tensile strength of the printed composites relative to the values shown by conventional 3D-printed polymer-based composites.
",SLM or DMLS,0.59,0.54,0.565,Polymer,0.6,0.48,0.54
4,3D Printing of Transparent Glass,"Traditional assembly line manufacturing is speculative, costly and environmentally unsustainable. It is speculative because it commits substantial resources—energy, materials, shipping, handling, stocking and displaying—without a guaranteed sale. It is costly because each of these resources—material, process, people and place—involves expense not encountered when a product is manufactured at the time of sale. It is environmentally unsustainable because, no matter how much recycling is done, not using the resources unless actually needed is always a better path. As part of the RAGNAROK (Research on Advancing Glass & Nonorganic Applications to Recreate Objects & Kinetics) project in HP Labs, we identified glass as a promising candidate for additive manufacturing based on 3-D printing methods. Glass is a silica-based material. With 90% of the earth’s crust composed of silicate minerals, there will be no shortage of silica resources. Glass is easy to recycle and is environmentally friendly. Glass is inexpensive but looks precious, is pleasant to the touch and is so familiar that customers will not be disappointed by its fragility— under certain conditions.  A major need, and concomitantly a major challenge, for 3D printed glass is transparency.",SLM or DMLS,0.62,0.61,0.615,Metal,0.51,0.57,0.54
5,A Review of Additive Manufacturing,"Additive manufacturing processes take the information from a computer-aided design (CAD) ﬁle that is later converted to a stereolithography (STL) ﬁle. In this process, the drawing made in the CAD software is approximated by triangles and sliced containing the information of each layer that is going to be printed. There is a discussion of the relevant additive manufacturing processes and their applications. The aerospace industry employs them because of the possibility of manufacturing lighter structures to reduce weight. Additive manufacturing is transforming the practice of medicine and making work easier for architects. In 2004, the Society of Manufacturing Engineers did a classiﬁcation of the various technologies and there are at least four additional signiﬁcant technologies in 2012. Studies are reviewed which were about the strength of products made in additive manufacturing processes. However, there is still a lot of work and research to be accomplished before additive manufacturing technologies become standard in the manufacturing industry because not every commonly used manufacturing material can be handled.The accuracy needs improvement to eliminate the necessity of a ﬁnishing process.The continuous and increasing growth experienced since the early days and the successful results up to the present time allow for optimism that additive manufacturing has a signiﬁcant place in the future of manufacturing.
",FDM or FFF or EAM,0.8,0.85,0.825,Metal,0.38,0.38,0.38
6,Additive manufacturing and its societal impact a literature review,"Thirty years into its development, additive manufacturing
has become a mainstream manufacturing process.
Additive manufacturing build up parts by adding materials
one layer at a time based on a computerized 3D solid model.
It does not require the use of fixtures, cutting tools, coolants,
and other auxiliary resources. It allows design optimization
and the producing of customized parts on-demand. Its
advantages over conventional manufacturing have captivated
the imagination of the public, reflected in recent mainstream
publications that call additive manufacturing “the
third industrial revolution.” This paper reviews the societal
impact of additive manufacturing from a technical perspective.
Abundance of evidences were found to support the
promises of additive manufacturing in the following areas:
(1) customized healthcare products to improve population
health and quality of life, (2) reduced environmental impact
for manufacturing sustainability, and (3) simplified supply
chain to increase efficiency and responsiveness in demand
fulfillment. In the mean time, the review also identified the
need for further research in the areas of life-cycle energy
consumption evaluation and potential occupation hazard
assessment for additive manufacturing.",FDM or FFF or EAM,0.74,0.44,0.59,Polymer,0.39,0.3,0.345
7,Additive manufacturing and mechanical characterization of high density fully stabilized zirconia,"Mechanical properties of additively manufactured 8 mol% yttria-stabilized zirconia (8YSZ) parts were extensively studied for the ﬁrst time. A novel freeform extrusion fabrication process, called Ceramic OnDemand Extrusion (CODE), was employed to deposit an aqueous viscous suspension (~50 vol% solids loading) of fully stabilized zirconia powder in a layer-by-layer fashion. Each layer was exposed to infrared radiation after deposition to attain partial solidiﬁcation due to drying. Before exposure, the layer was surrounded by oil to preclude non-uniform evaporation, which could cause warpage and crack formation. After the fabrication process was completed, the parts were humid-dried in an environmental chamber and densiﬁed by sintering under atmospheric pressure. Standard test methods were employed to examine the properties of sintered parts including density, Vickers hardness, fracture toughness, Young's modulus, and ﬂexural strength. Microstructural evaluation was also performed to observe the microstructural morphology and measure grain size. The results indicate that the properties of 8YSZ parts produced by the CODE process match those obtained by conventional fabrication techniques",FDM or FFF or EAM,0.58,0.42,0.5,Polymer,0.48,0.3,0.39
8,Additive manufacturing of carbonfiber-reinforced plastic compositesusing fused deposition modeling Effects of process parameterson tensile properties,"Carbon fiber-reinforced plastic composites have been intensively used for many applications due to their attractive
properties. The increasing demand of carbon fiber-reinforced plastic composites is driving novel manufacturing processes
to be in short manufacturing cycle time and low production cost, which is difficult to realize during carbon fiberreinforced
plastic composites fabrication in common molding processes. Fused deposition modeling, as one of the
additive manufacturing techniques, has been reported for fabricating carbon fiber-reinforced plastic composites. The
process parameters used in fused deposition modeling of carbon fiber-reinforced plastic composites follow those in fused
deposition modeling of pure plastic materials. After adding fiber reinforcements, it is crucial to investigate proper fused
deposition modeling process parameters to ensure the quality of the carbon fiber-reinforced plastic parts fabricated by
fused deposition modeling. However, there are no reported investigations on the effects of fused deposition modeling
process parameters on the mechanical properties of carbon fiber-reinforced plastic composites. In the experimental
investigations of this paper, carbon fiber-reinforced plastic composite parts are fabricated using a fused deposition
modeling machine. Tensile tests are conducted to obtain the tensile properties. The effects of fused deposition modeling
process parameters on the tensile properties of fused deposition modeling-fabricated carbon fiber-reinforced plastic
composite parts are investigated. The fracture interfaces of the parts after tensile testing are observed by a scanning
electron microscope to explain material failure modes and reasons.",SLM or DMLS,0.67,0.75,0.71,Metal,0.63,0.56,0.595
9,Additive Manufacturing of Ceramic Based Materials,"This paper offers a review of present achievements in the field of processing of ceramic based materials with complex geometry using the main additive manufacturing (AM) technologies. In AM, the geometrical design of a desired ceramic-based component is combined with the materials design.In this way,the fabrication times and the product costs of ceramic-based parts with required properties can be substantially reduced. However, dimensional accuracy and surface finish still remain crucial features intoday’s AM due to the layer-by-layer formation of the parts.In spite of the fact that significant progress has been made in the development of feedstock materials, the most difficult limitations for AM technologies are the restrictions set by material selection for each AM method and aspects considering the inner architectural design of the manufactured parts. Hence, any future progress in the field of AM should be based on the improvement of the existing technologies or, alternatively, the development of new approaches with an emphasis on parts allowing the near-net formation of ceramic structures,while optimizing the design of new materials and of the part architecture.
",SLM or DMLS,0.54,0.69,0.615,Metal,0.45,0.69,0.57
